Step, Discriminator loss, Generator loss, Observer loss, Control factor
0 , -0.7390466 , -0.7338711 , 0.0 , 2.71412282539314 
11 , -0.7350786 , -0.7302005 , 0.0 , 2.71412282539314 
22 , -0.7364079 , -0.73165226 , 0.0 , 2.71412282539314 
33 , -0.73905706 , -0.7352437 , 0.0 , 2.71412282539314 
44 , -0.7427962 , -0.7405113 , 0.0 , 2.71412282539314 
55 , -0.7480638 , -0.746899 , 0.0 , 2.71412282539314 
66 , -0.7567259 , -0.7561761 , 0.0 , 2.71412282539314 
77 , -0.76221323 , -0.76219887 , 0.0 , 2.71412282539314 
88 , -0.7709789 , -0.77148306 , 0.0 , 2.71412282539314 
99 , -0.77931964 , -0.77982974 , 0.0 , 2.71412282539314 
110 , -0.78514373 , -0.7860452 , 0.0 , 2.71412282539314 
121 , -0.79930353 , -0.7996268 , 0.0 , 2.71412282539314 
132 , -0.8093852 , -0.80996335 , 0.0 , 2.71412282539314 
143 , -0.8220872 , -0.8223461 , 0.0 , 2.71412282539314 
154 , -0.83904517 , -0.8411634 , 0.0 , 2.71412282539314 
165 , -0.84877443 , -0.85178304 , 0.0 , 2.71412282539314 
176 , -0.87156177 , -0.87560344 , 0.0 , 2.71412282539314 
187 , -0.8878771 , -0.8921618 , 0.0 , 2.71412282539314 
198 , -0.90639126 , -0.9126441 , 0.0 , 2.71412282539314 
209 , -0.92706156 , -0.93353957 , 0.0 , 2.71412282539314 
220 , -0.9578558 , -0.9650618 , 0.0 , 2.71412282539314 
231 , -0.98998237 , -0.9983966 , 0.0 , 2.71412282539314 
242 , -1.0117348 , -1.0207274 , 0.0 , 2.71412282539314 
253 , -1.0467458 , -1.0550104 , 0.0 , 2.71412282539314 
264 , -1.056832 , -1.0662847 , 0.0 , 2.71412282539314 
275 , -1.107134 , -1.115644 , 0.0 , 2.71412282539314 
286 , -1.1329429 , -1.1443717 , 0.0 , 2.71412282539314 
297 , -1.1937101 , -1.2080181 , 0.0 , 2.71412282539314 
308 , -1.2315974 , -1.2450259 , 0.0 , 2.71412282539314 
319 , -1.2529066 , -1.2667112 , 0.0 , 2.71412282539314 
330 , -1.3115766 , -1.3293158 , 0.0 , 2.71412282539314 
341 , -1.3577657 , -1.3759861 , 0.0 , 2.71412282539314 
352 , -1.4064448 , -1.4267938 , 0.0 , 2.71412282539314 
363 , -1.4864924 , -1.511794 , 0.0 , 2.71412282539314 
374 , -1.5257545 , -1.5484829 , 0.0 , 2.71412282539314 
385 , -1.6202579 , -1.6505365 , 0.0 , 2.71412282539314 
396 , -1.6923735 , -1.7239711 , 0.0 , 2.71412282539314 
407 , -1.826311 , -1.8672733 , 1.9018387233201537 , 2.71412282539314 
418 , -1.8661348 , -1.9058766 , 1.8989672290179567 , 2.71412282539314 
429 , -1.8959277 , -1.94048 , 1.8973954296579485 , 2.71412282539314 
440 , -2.0928094 , -2.145698 , 1.8811641261186622 , 2.71412282539314 
451 , -2.205468 , -2.2712555 , 1.8720020371155677 , 2.71412282539314 
